Scenario - face_house_1b_LL
Logfile written - 7/3/2006 5:07:00 PM

Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur
234	Response	200	1519396	-6052	939
234	Picture	44	1525448	0	3	1164	4	0	next
235	Picture	fixation	1526612	0	1	11291	2	0	next
236	Picture	41	1537903	0	1	1328	3	0	next
237	Picture	fixation	1539231	0	2	10945	942	0	next
238	Response	200	1543145	-7031	939
238	Picture	fixation	1550176	0	940	1250	1568	0	next
239	Picture	fixation	1551426	0	628	11216	631	0	next
240	Picture	42	1562642	0	3	1330	4	0	next
241	Picture	fixation	1563972	0	1	11291	2	0	next
242	Response	200	1568801	-6462	3
242	Picture	44	1575263	0	1	1328	3	0	next
243	Picture	fixation	1576591	0	2	11291	4	0	next
244	Picture	44	1587882	0	2	1328	4	0	next
245	Picture	fixation	1589210	0	2	11458	3	0	next
246	Picture	44	1600668	0	1	1328	3	0	next
247	Picture	fixation	1601996	0	2	10958	5	0	next
248	Picture	41	1612954	0	3	1163	5	0	next
249	Picture	fixation	1614117	0	2	11623	4	0	next
250	Response	200	1619393	-6347	940
250	Picture	43	1625740	0	2	1163	3	0	next
251	Picture	fixation	1626903	0	1	11623	2	0	next
252	Picture	fixation	1638526	0	1	1328	3	0	next
253	Picture	fixation	1639854	0	2	10294	5	0	next
254	Picture	fixation	1650148	0	3	1329	5	0	next
255	Picture	fixation	1651477	0	2	11125	4	0	next
256	Picture	44	1662602	0	2	2159	3	0	next
257	Picture	fixation	1664761	0	1	10461	2	0	next
258	Picture	fixation	1675222	0	1	1328	2	0	next
259	Picture	fixation	1676550	0	1	11125	2	0	next
260	Picture	41	1687675	0	1	1328	3	0	next
261	Picture	fixation	1689003	0	2	11623	4	0	next
262	Response	200	1692047	-8579	940
262	Picture	43	1700626	0	2	1163	3	0	next
263	Picture	fixation	1701789	0	1	11291	2	0	next
264	Picture	41	1713080	0	1	1162	2	0	next
265	Picture	fixation	1714242	0	1	11291	3	0	next
266	Response	200	1717016	-8517	3
266	Picture	43	1725533	0	2	1328	4	0	next
267	Picture	fixation	1726861	0	2	10792	5	0	next
268	Picture	fixation	1737653	0	3	2160	5	0	next
269	Picture	fixation	1739813	0	2	10295	3	0	next
270	Picture	43	1750108	0	1	1328	2	0	next
271	Picture	fixation	1751436	0	1	11291	3	0	next
272	Picture	42	1762727	0	2	1827	3	0	next
273	Picture	fixation	1764554	0	1	10626	3	0	next
274	Response	200	1768288	-6892	2
274	Picture	43	1775180	0	2	1826	5	0	next
275	Picture	fixation	1777006	0	3	10628	4	0	next
276	Picture	fixation	1787634	0	1	1328	3	0	next
277	Picture	fixation	1788962	0	2	11125	4	0	next
278	Picture	41	1800087	0	2	1328	4	0	next
279	Picture	fixation	1801415	0	2	12122	3	0	next
280	Response	200	1805162	-8375	2
280	Picture	fixation	1813537	0	1	1328	3	0	next
281	Picture	fixation	1814865	0	2	10293	5	0	next
282	Picture	43	1825158	0	3	1330	5	0	next
283	Picture	fixation	1826488	0	2	11125	4	0	next
284	Picture	fixation	1837613	0	2	1495	3	0	next
285	Picture	fixation	1839108	0	1	11124	3	0	next
286	Picture	42	1850232	0	2	1661	3	0	next
287	Picture	fixation	1851893	0	1	10793	2	0	next
288	Response	200	1855633	-7053	2
288	Picture	44	1862686	0	1	2158	3	0	next
289	Picture	fixation	1864844	0	2	10461	4	0	next
290	Picture	43	1875305	0	2	1162	4	0	next
291	Picture	fixation	1876467	0	2	167	3	0	next
